iter	Passed	Remaining
623	3300	1988
624	3304	1982
625	3307	1976
626	3311	1969
627	3315	1963
628	3318	1957
629	3321	1950
630	3324	1944
631	3327	1937
632	3330	1930
633	3333	1924
634	3336	1917
635	3339	1911
636	3342	1904
637	3344	1897
638	3348	1891
639	3350	1884
640	3354	1878
641	3357	1871
642	3360	1865
643	3363	1859
644	3365	1852
645	3368	1846
646	3371	1839
647	3374	1833
648	3378	1827
649	3382	1821
650	3386	1815
651	3389	1808
652	3392	1802
653	3395	1796
654	3398	1789
655	3401	1783
656	3403	1776
657	3406	1770
658	3409	1764
659	3412	1757
660	3415	1751
661	3418	1745
662	3420	1738
663	3424	1732
664	3426	1726
665	3429	1719
666	3432	1713
667	3435	1707
668	3437	1700
669	3441	1694
670	3445	1689
671	3448	1683
672	3451	1676
673	3453	1670
674	3456	1664
675	3459	1658
676	3462	1652
677	3465	1645
678	3468	1639
679	3472	1633
680	3474	1627
681	3477	1621
682	3480	1615
683	3483	1609
684	3487	1603
685	3490	1597
686	3494	1591
687	3497	1586
688	3500	1580
689	3503	1574
690	3507	1568
691	3510	1562
692	3514	1556
693	3518	1551
694	3523	1546
695	3529	1541
696	3533	1536
697	3537	1530
698	3541	1525
699	3545	1519
700	3549	1514
701	3553	1508
702	3557	1502
703	3561	1497
704	3564	1491
705	3567	1485
706	3570	1479
707	3573	1473
708	3576	1467
709	3580	1462
710	3582	1456
711	3587	1451
712	3593	1446
713	3599	1441
714	3603	1436
715	3607	1430
716	3611	1425
717	3614	1419
718	3617	1413
719	3621	1408
720	3624	1402
721	3627	1396
722	3630	1390
723	3634	1385
724	3637	1379
725	3640	1373
726	3642	1367
727	3646	1362
728	3649	1356
729	3652	1350
730	3655	1345
731	3658	1339
732	3661	1333
733	3664	1328
734	3668	1322
735	3671	1316
736	3674	1311
737	3676	1305
738	3679	1299
739	3682	1293
740	3686	1288
741	3689	1282
742	3691	1276
743	3694	1271
744	3698	1265
745	3700	1260
746	3705	1254
747	3708	1249
748	3712	1244
749	3715	1238
750	3720	1233
751	3724	1228
752	3727	1222
753	3730	1217
754	3733	1211
755	3736	1205
756	3739	1200
757	3742	1194
758	3745	1189
759	3747	1183
760	3750	1177
761	3754	1172
762	3758	1167
763	3775	1166
764	3784	1162
765	3787	1156
766	3793	1152
767	3802	1148
768	3809	1144
769	3817	1140
770	3842	1141
771	3857	1139
772	3864	1134
